Date,Open,High,Low,Close,Volume,,,,,,,,
14-Mar-23,527.65,532.8,520,525.4,"1,47,50,800",,,,,,,,
15-Mar-23,529.8,532,515.55,517.55,"1,12,82,329",,,,,,,,
16-Mar-23,518.4,529.35,514.3,524.5,"2,00,40,008",,,,,,,,
17-Mar-23,528.65,531.6,520.1,529.8,"1,87,87,379",,,,,,,,
20-Mar-23,526.6,526.6,515,519.2,"1,42,75,315",,,,,,,,
21-Mar-23,522,523.45,516.45,521.85,"2,94,85,180",,,,,,,,
22-Mar-23,522.2,527,520.1,521.55,"1,16,19,538",,,,,,,,
23-Mar-23,519.4,521,511.5,512.75,"2,20,97,792",,,,,,,,
24-Mar-23,514.5,514.95,503.45,505.35,"1,44,16,984",,,,,,,,
27-Mar-23,507,514.15,501.55,510.15,"1,56,74,218",,,,,,,,
28-Mar-23,511.45,511.75,503.85,508.1,"1,58,33,599",,,,,,,,
29-Mar-23,509,518,506.3,516.5,"2,42,03,789",,,,,,,,
31-Mar-23,520.65,524.9,519.35,523.75,"1,73,56,345",,,,,,,,
03-Apr-23,524.75,528.5,522.1,526.75,"1,42,10,949",,,,,,,,
05-Apr-23,527,527.6,519.05,523,"1,35,74,801",,,,,,,,
06-Apr-23,524,533.7,521.65,527.65,"2,51,25,879",,,,,,,,
10-Apr-23,529.25,530.4,524.4,526.3,"1,73,35,453",,,,,,,,
11-Apr-23,530.85,535.7,527.15,532.1,"2,64,14,406",,,,,,,,
12-Apr-23,533.2,534,526,528.2,"2,12,92,441",,,,,,,,
13-Apr-23,529.3,534.25,527.15,532.95,"2,85,97,560",,,,,,,,
17-Apr-23,528,545,528,544,"3,24,76,990",,,,,,,,
18-Apr-23,545.35,548.5,540.5,545.85,"2,22,83,456",,,,,,,,
19-Apr-23,544,547.5,538.25,540.3,"2,11,56,372",,,,,,,,
20-Apr-23,541.2,545.45,536.65,544.8,"2,55,88,577",,,,,,,,
21-Apr-23,545,546.4,539.7,543.15,"2,25,99,418",,,,,,,,
24-Apr-23,543.8,555.55,543.5,554.6,"2,33,35,611",,,,,,,,
25-Apr-23,555,567.9,555,561.8,"3,81,42,390",,,,,,,,
26-Apr-23,562,567,556.45,566.35,"2,31,43,882",,,,,,,,
27-Apr-23,565,567.4,561.1,564.75,"1,78,45,169",,,,,,,,
28-Apr-23,567.8,580.45,565.5,578.3,"1,61,83,423",,,,,,,,
02-May-23,580,580.85,573.15,575.3,"1,36,67,511",,,,,,,,
03-May-23,570.65,575,569,570.5,"96,99,527",,,,,,,,
04-May-23,570.2,580.8,568.5,580,"1,25,33,761",,,,,,,,
05-May-23,580.2,588.25,575.05,576.5,"1,81,63,461",,,,,,,,
08-May-23,577.65,587.6,577.35,583.6,"1,29,90,869",,,,,,,,
09-May-23,585,586.45,572.1,573.5,"1,89,59,065",,,,,,,,
10-May-23,575,575,563.25,572.2,"1,85,61,315",,,,,,,,
11-May-23,572.2,580,572,573.45,"1,60,16,715",,,,,,,,
12-May-23,574.7,580.75,571.55,578.15,"1,13,19,335",,,,,,,,
15-May-23,578.75,584,574.65,581.9,"1,14,10,243",,,,,,,,
16-May-23,584,590.4,582,586.3,"2,21,78,229",,,,,,,,
17-May-23,586,590.5,579.5,586.3,"2,37,39,774",,,,,,,,
18-May-23,590.3,593.9,571.4,574.2,"4,56,56,620",,,,,,,,
19-May-23,579,586.25,569.9,575.15,"4,22,93,962",,,,,,,,
22-May-23,577.5,580.3,573.45,577.15,"2,14,84,049",,,,,,,,
23-May-23,578.9,583.7,576.8,581.6,"1,61,20,548",,,,,,,,
24-May-23,579.8,585.25,578.25,582.7,"1,76,16,658",,,,,,,,
25-May-23,582,582.9,577,581.25,"1,64,79,436",,,,,,,,
26-May-23,581.25,587.75,580.55,586,"97,88,076",,,,,,,,
29-May-23,590,596.4,588.05,595,"1,84,32,231",,,,,,,,
30-May-23,595,595.5,591.5,592.8,"1,50,31,640",,,,,,,,
31-May-23,583.8,584.8,577.5,579.85,"2,87,97,643",,,,,,,,
01-Jun-23,581.8,586.4,581,582.75,"1,78,20,226",,,,,,,,
02-Jun-23,584.7,588.9,583,587.2,"1,13,23,908",,,,,,,,
05-Jun-23,588.5,589.8,586,587.2,"1,29,20,507",,,,,,,,
06-Jun-23,588,588.9,583,585.35,"1,11,99,940",,,,,,,,
07-Jun-23,588,590.6,586,589.2,"1,11,13,781",,,,,,,,
08-Jun-23,589.95,593.95,586.35,588.5,"1,59,71,917",,,,,,,,
09-Jun-23,588,589.1,576.75,578.7,"1,88,70,272",,,,,,,,
12-Jun-23,580,581.5,577.7,578.65,"87,86,066",,,,,,,,
13-Jun-23,579.45,581.4,574.25,576.4,"1,26,12,098",,,,,,,,
14-Jun-23,577,578.55,575.25,576.55,"89,48,696",,,,,,,,
15-Jun-23,576,576.7,565.25,566.5,"1,79,34,877",,,,,,,,
16-Jun-23,568.75,574.7,567.05,571.25,"1,26,60,226",,,,,,,,
19-Jun-23,571.25,572.75,565.9,568.85,"1,79,03,691",,,,,,,,
20-Jun-23,568.85,569.45,562.55,567.4,"1,45,49,152",,,,,,,,
21-Jun-23,567.4,569.5,565.65,566.35,"1,49,46,871",,,,,,,,
22-Jun-23,566.35,569,561.05,562.95,"1,49,79,063",,,,,,,,
23-Jun-23,562,562.1,553.8,554.6,"1,22,15,712",,,,,,,,
26-Jun-23,556,558.5,554.5,557.05,"83,60,264",,,,,,,,
27-Jun-23,558.25,567.95,555.65,566.1,"1,06,94,768",,,,,,,,
28-Jun-23,572.25,574,568.55,569.8,"1,80,28,934",,,,,,,,
30-Jun-23,574,574,570.2,572.85,"87,18,232",,,,,,,,
03-Jul-23,574.5,586.35,573.9,585.45,"1,54,21,985",,,,,,,,
04-Jul-23,588.2,595.95,582.25,589.25,"2,47,99,250",,,,,,,,
05-Jul-23,589.8,593.7,588.2,590.6,"1,35,98,114",,,,,,,,
06-Jul-23,590.4,593.5,589.1,592.5,"1,13,23,509",,,,,,,,
07-Jul-23,590,595.5,585.5,593.6,"1,17,07,209",,,,,,,,
10-Jul-23,594.65,599.8,590.25,592.6,"1,14,17,363",,,,,,,,
11-Jul-23,595,595.95,587.35,588.55,"1,32,21,177",,,,,,,,
12-Jul-23,589,594.5,588.2,589.25,"1,60,29,716",,,,,,,,
13-Jul-23,594.9,598,583.35,585.65,"2,00,24,503",,,,,,,,
14-Jul-23,586.75,591.3,580.7,584.4,"1,21,90,152",,,,,,,,
17-Jul-23,587,602.85,584.2,601.1,"1,93,78,986",,,,,,,,
18-Jul-23,603.05,604.05,588.75,592.35,"2,57,57,209",,,,,,,,
19-Jul-23,594.65,602.4,592,601.45,"1,75,56,585",,,,,,,,
20-Jul-23,601.4,610.8,598.75,610.05,"3,40,38,351",,,,,,,,
21-Jul-23,610,619.5,609,615.1,"2,10,40,281",,,,,,,,
24-Jul-23,615.05,621.9,614.3,617.65,"1,17,56,364",,,,,,,,
25-Jul-23,621.8,621.8,604.2,609.6,"1,85,03,305",,,,,,,,
26-Jul-23,612,616.35,609.15,615.15,"99,99,125",,,,,,,,
27-Jul-23,616.4,621.25,613.1,616.55,"1,74,44,742",,,,,,,,
28-Jul-23,616.4,619.9,613.6,616.05,"1,19,30,586",,,,,,,,
31-Jul-23,616.65,621,614.5,620.2,"86,05,483",,,,,,,,
01-Aug-23,620.2,620.85,610.6,611.85,"1,34,93,453",,,,,,,,
02-Aug-23,609.85,610.5,594.1,598.45,"1,49,77,497",,,,,,,,
03-Aug-23,598.7,600.85,585,590.5,"2,77,74,877",,,,,,,,
04-Aug-23,594.8,598.7,571.4,573.3,"5,27,25,616",,,,,,,,
07-Aug-23,577,577,566.65,567.9,"3,27,36,325",,,,,,,,
08-Aug-23,571,574.25,568.45,573.1,"2,50,38,671",,,,,,,,
09-Aug-23,575,575,568.35,573.75,"1,57,69,111",,,,,,,,
10-Aug-23,573.75,577.6,570.1,573.65,"2,73,25,801",,,,,,,,
11-Aug-23,575.45,579,572,574.15,"1,82,21,179",,,,,,,,
14-Aug-23,572.95,573,558.6,560.8,"2,80,84,093",,,,,,,,
16-Aug-23,558.8,566.4,554,565.35,"1,57,25,767",,,,,,,,
17-Aug-23,565.75,573.15,564,572.15,"2,79,10,162",,,,,,,,
18-Aug-23,570,575.25,567.4,572.95,"1,82,53,227",,,,,,,,
21-Aug-23,572.95,575.55,570.75,571.7,"93,80,810",,,,,,,,
22-Aug-23,572.5,574.45,567.5,568.5,"1,40,73,413",,,,,,,,
23-Aug-23,571,577.95,566,576.9,"1,85,79,297",,,,,,,,
24-Aug-23,578.15,582,575.55,576.95,"2,41,31,644",,,,,,,,
25-Aug-23,573.8,575.3,567.2,569.95,"1,22,71,885",,,,,,,,
28-Aug-23,572.8,574.8,569.2,572.85,"97,11,932",,,,,,,,
29-Aug-23,573.65,576.3,571.85,574.85,"1,31,44,855",,,,,,,,
30-Aug-23,576.7,577.7,566.1,567.4,"1,52,81,416",,,,,,,,
31-Aug-23,569.3,570.3,559.4,561.35,"2,78,98,476",,,,,,,,
